cd_empresa,cnpj_empresa,empresa
329,73431686001030,FV'XOSQ'J5V%-F?:_PG>*0
1166,64641327000125,"LB?F2.D'R<PO:9>""GQS@M-"
1594,08684547000165,C[$AH-:5WRJED>3P/NY2/%
1603,43776517000180,"C9WF[+\[GQ,P[O8L2%/=<,"
389,01943121000806,"OG69KSV)QCU4"";O(+C9M2*"
1542,17351180000230,J^R8N<>`X_]S5GU.T*/QK$
1517,52034139001040,"LK[EW@`C/R9C""MBBD,Z,G%"
490,45989050000181,IW&`9%U4M(8N[WI+;W`T.*
1589,01175055000103,AEFN+2BXCBYU$XVVBGYQJ!
1530,09054385000144,E:))P)9[N`_@.L<*.+Y&<*
290,33040635000171,"H-""X274I'IU\&,9>B(@7E*"
1547,13427325000105,"D*?:V4=U_Q5G1.5B42P,I/"
391,72827405000451,"C"")J[%V,`XFQXWF\'BYR5'"
1345,59104901000176,"C$71+_\K`Q/3R\D$;5,8]#"
1566,20458968000173,PTEQ=E&KU>08LVQCRS4LZ&
1494,26643740001454,"J&O@IK,P""Z""N@3Z[3,Z@A("
299,61520607000197,"EP""`8<E'\Y?2RM+E;.T%C*"
1533,26510108000118,"JPN'VA!=3)=M7HF.+%1M,*"
422,10519123000197,"LOSCU""_@37W3E&(T&H""4[/"
298,23514668000152,A#R]HD=%Q\O?LZ@-96$AQ0
1,16404287000155,MOKKSTA.16*Z'1NM8F/+@/
1247,02012862000160,"G6[4.=^)_-T3""OOYX;U$^)"
1579,60210515000148,"C0]F6G(,S0Q7%-2`2ARB`)"
1565,43299211000180,A[/)R\)AX5E1?J:##\T10$
1519,03963135000140,"L""JA:1RYPX&N5IU173'J^'"
1526,67945071000138,"B!A?^1N9""N:6_5`IKFM!*)"
1557,07205399000277,K0L+55@GKZLMS_ZLMM3/4#
1601,59285411000113,"K,LDE=$A;E5[26F5!N(+`#"
388,29503297000190,G9RIFS24_&*U6S*YKAX!$+
1552,04831417000319,IC(K3O)>&=_I\6XGO`_?8+
1520,02004662000165,JP#RP<6R1KV8GYW_N?^Y$(
1571,61099826000144,"G%YR1B5""2E$`Y,/O!13("","
1591,61037537000110,HTXW>B`7R=?1V?L=#^S@)$
