cd_operadora,operadora
8,"MHNX.EJYO5!$""E;UGV`%4$"
77,GKTKY&_IT3@)E@OW=$N;W'
33,I.L!FRX*!.EY`V85JQG%L$
72,M%4N06(EG#;$#3I%ZHCCO.
30,"J#LMAY?)X#7V""E0=8L?;<,"
28,A'`>=TF*6>KQ83SCC$C7H'
84,K\3I3I>;W&[FQB6TL?F&D!
2,"FQI[1JJW@\5W/3,&758YX)"
71,"DG-5Q6-*2<[LPC;""J@Q>S#"
26,"L^9QDQ]POK,'S`U?MCGUQ/"
44,"A^;%Y?A*PZ`!.R2,6/P5['"
49,"IFWO###D1QLGEL+8^'!""%,"
137,B'B7.I482O;7/Q$QF9$/#-
1,B*^D36KO*I2.0Z^!EE0X]/
5,"I[CGWG\]RN>AFA)NZZ7(@"""
188,LV$?/#4KQG)]C=D%WQM7*)
60,G0H[KN]$D]S\G%#`%)8#2+
19,"H]%,==>!]A)A;25;3)_WC,"
10,F6U4\=MS+JUH]T7_GQ.7O-
6,"MV4;.O%NPJ^$ZN0/E'?^P"""
39,"G+""*$@5ZH<0W'U@""CH.C:("
185,"JE5K]A,D9""^P.S(!BEXFL."
186,"J+""/A%!L*TBOFB*C:0F*0$"
80,MCWJ?%/MPZ=E4>V:G0G:Y.
13,N:>X;9'%K55M?%@'^9=!%&
29,"CE+`>)V/""K<T?^AI/OB]1/"
192,M$H0%R^>9DXQ+FK?[^HC%&
40,OO\Q*-''PBT*YI)FB)O%M!
